,GT_noa
0,20
1,24
2,11
3,20
4,17
5,21
6,15
7,11
8,15
9,14
10,11
11,13
12,17
13,13
14,14
15,14
16,12
17,24
18,28
19,34
20,32
21,28
22,16
23,28
24,30
25,23
26,17
27,34
28,29
29,17
30,31
31,46
32,17
33,27
34,36
35,18
36,20
37,30
38,22
39,7
40,30
41,37
42,18
43,27
44,19
45,14
46,25
47,21
48,30
49,30
50,35
51,10
52,30
53,27
54,26
55,11
56,33
57,19
58,32
59,34
60,34
61,9
62,23
63,16
64,19
65,34
66,30
67,24
68,33
69,17
70,18
71,15
72,24
73,33
74,7
75,22
76,18
77,35
78,18
79,15
80,18
81,12
82,24
83,35
84,20
85,27
86,16
87,8
88,26
89,35
90,16
91,14
92,13
93,25
94,27
95,15
96,26
97,38
98,46
99,30
100,8
101,28
102,11
103,20
104,14
105,32
106,10
107,32
108,26
109,13
110,24
111,18
112,18
113,13
114,27
115,33
116,20
117,18
118,36
119,28
120,14
121,18
122,21
123,21
124,9
125,13
126,27
127,46
128,11
129,30
130,46
131,20
132,31
133,13
134,25
135,25
136,35
137,15
138,17
139,12
140,25
141,12
142,28
143,12
144,27
145,29
146,17
147,19
148,14
149,19
150,13
151,11
152,24
153,13
154,32
155,22
156,14
157,46
158,9
159,16
160,20
161,15
162,23
163,14
164,11
165,31
166,31
167,11
168,27
169,23
170,14
171,25
172,38
173,25
174,36
175,34
176,13
177,11
178,37
179,31
180,14
181,22
182,12
183,36
184,33
185,18
186,24
187,37
188,20
189,13
190,23
191,24
192,15
193,23
194,17
195,24
196,14
197,29
198,26
199,22
200,38
201,36
202,20
203,10
204,16
205,26
206,10
207,20
208,13
209,19
210,31
211,10
212,28
213,20
214,10
215,16
216,17
217,24
218,13
219,33
220,24
221,17
222,11
223,20
224,23
225,46
226,27
227,16
228,18
229,15
230,15
231,22
232,21
233,25
234,19
235,32
236,15
237,13
238,20
239,21
240,29
241,46
242,30
243,11
244,31
245,21
246,13
247,46
248,12
249,11
250,24
251,22
252,15
253,13
254,19
255,9
256,13
257,34
258,22
259,13
260,12
261,12
262,27
263,10
264,33
265,12
266,11
267,25
268,29
269,38
270,39
271,17
272,24
273,23
274,15
275,30
276,13
277,46
278,14
279,15
280,10
281,10
282,29
283,19
284,18
285,12
286,23
287,13
288,17
289,18
290,13
291,13
292,25
293,16
294,35
295,21
296,19
297,28
298,14
299,34
300,18
301,14
302,27
303,21
304,20
305,8
306,21
307,30
308,25
309,30
310,24
311,16
312,17
313,21
314,14
315,12
316,22
317,24
318,14
319,13
320,37
321,26
322,38
323,10
324,24
325,13
326,17
327,28
328,26
329,13
330,17
331,30
332,24
333,28
334,25
335,11
336,13
337,30
338,27
339,16
340,22
341,23
342,15
343,15
344,10
345,14
346,8
347,12
348,10
349,14
350,11
351,11
352,15
353,20
354,22
355,15
356,31
357,30
358,46
359,19
360,11
361,10
362,19
363,12
364,26
365,20
366,12
367,12
368,17
369,17
370,21
371,17
372,35
373,35
374,16
375,32
376,16
377,26
378,11
379,38
380,32
381,23
382,12
383,21
384,46
385,15
386,12
387,39
388,15
389,13
390,34
391,12
392,24
393,33
394,35
395,18
396,26
397,24
398,35
399,35
400,26
401,26
402,28
403,32
404,36
405,12
406,26
407,13
408,12
409,35
410,16
411,31
412,25
413,28
414,21
415,16
416,17
417,27
418,28
419,17
420,20
421,34
422,17
423,20
424,22
425,22
426,31
427,19
428,12
429,27
430,27
431,38
432,19
433,20
434,17
435,10
436,36
437,26
438,36
439,28
440,18
441,13
442,11
443,34
444,34
445,15
446,22
447,24
448,23
449,18
450,13
451,17
452,29
453,14
454,27
455,12
456,35
457,32
458,19
459,19
460,23
461,19
462,13
463,24
464,19
465,11
466,31
467,19
468,17
469,46
470,17
471,15
472,10
473,15
474,19
475,33
476,25
477,13
478,20
479,13
480,25
481,17
482,13
483,25
484,33
485,32
486,16
487,34
488,11
489,18
490,15
491,34
492,34
493,19
494,17
495,46
496,29
497,18
498,30
499,33
500,39
501,20
502,23
503,24
504,23
505,12
506,27
507,14
508,9
509,30
510,23
511,27
512,27
513,24
514,9
515,29
516,22
517,20
518,32
519,22
520,46
521,20
522,33
523,13
524,23
525,22
526,20
527,13
528,23
529,11
530,17
531,15
532,21
533,14
534,35
535,27
536,31
537,18
538,16
539,18
540,18
541,16
542,37
543,33
544,27
545,15
546,15
547,15
548,16
549,23
550,21
551,17
552,8
553,26
554,21
555,22
556,23
557,33
558,21
559,32
560,12
561,22
562,32
563,28
564,15
565,16
566,37
567,14
568,18
569,18
570,30
571,18
572,17
573,26
574,35
575,10
576,31
577,22
578,16
579,17
580,14
581,24
582,46
583,30
584,35
585,30
586,34
587,16
588,17
589,22
590,28
591,28
592,16
593,20
594,27
595,19
596,33
597,14
598,20
599,26
600,36
601,46
602,32
603,12
604,46
605,11
606,27
607,11
608,21
609,11
610,24
611,9
612,15
613,31
614,24
615,31
616,32
617,10
618,36
619,32
620,11
621,16
622,16
623,27
624,24
625,34
626,31
627,14
628,19
629,26
630,13
631,26
632,14
633,33
634,9
635,26
636,30
637,18
638,29
639,29
640,26
641,12
642,18
643,16
644,18
645,12
646,28
647,35
648,32
649,9
650,27
651,30
652,18
653,38
654,22
655,22
656,26
657,27
658,20
659,11
660,15
661,23
662,21
663,23
664,24
665,17
666,30
667,20
668,34
669,15
670,35
671,34
672,25
673,26
674,19
675,25
676,46
677,30
678,33
679,30
680,12
681,22
682,22
683,11
684,14
685,11
686,32
687,11
688,13
689,11
690,14
691,35
692,9
693,14
694,27
695,19
696,21
697,14
698,11
699,22
700,29
701,32
702,23
703,33
704,33
705,18
706,20
707,19
708,16
709,32
710,22
711,36
712,34
713,12
714,20
715,22
716,33
717,14
718,13
719,27
720,16
721,15
722,20
723,12
724,24
725,16
726,32
727,15
728,21
729,17
730,29
731,20
732,9
733,14
734,26
735,29
736,21
737,23
738,21
739,20
740,10
741,39
742,21
743,21
744,30
745,31
746,25
747,23
748,12
749,39
750,34
751,31
752,27
753,20
754,31
755,10
756,27
757,22
758,18
759,21
760,16
761,10
762,15
763,23
764,23
765,17
766,46
767,36
768,30
769,13
770,9
771,31
772,15
773,24
774,32
775,18
776,22
777,23
778,29
779,35
780,27
781,18
782,32
783,19
784,20
785,13
786,12
787,14
788,14
